species	Plot1	Plot2	Plot3	Plot4
Acer_macrophyllum	0	0	0	0
Acer_negundo_var._californicum	0	0	0	0
Adenostoma_fasciculatum	0	0	0	1
Aesculus_californica	1	0	1	0
Alnus_rhombifolia	0	0	0	0
Amelanchier_utahensis	0	0	0	0
Arbutus_menziesii	0	0	0	0
Artemisia_californica	0	0	0	0
Baccharis_pilularis	1	0	1	0
Ceanothus_cuneatus_var._cuneatus	0	0	0	1
Ceanothus_oliganthus_var._sorediatus	0	0	0	0
Cercocarpus_betuloides_var._betuloides	0	0	0	1
Clematis_lasiantha	0	0	0	1
Cornus_glabrata	0	0	0	0
Cornus_sericea_ssp._sericea	0	0	0	0
Corylus_cornuta_var._californica	0	0	0	0
Dirca_occidentalis	1	0	1	0
Eriodictyon_californicum	0	0	0	0
Eriophyllum_confertiflorum_var._confertiflorum	0	0	0	0
Heteromeles_arbutifolia	0	1	1	1
Holodiscus_discolor	0	0	1	0
Juglans_californica_var._hindsii	0	0	0	0
Lepechinia_calycina	1	0	0	1
Lonicera_hispidula_var._vacillans	0	1	1	0
Lotus_scoparius	0	0	0	1
Mimulus_aurantiacus	0	0	1	0
Oemleria_cerasiformis	0	0	0	0
Populus_balsamifera_ssp._trichocarpa	0	0	0	0
Prunus_ilicifolia_ssp._ilicifolia	0	0	0	1
Pseudotsuga_menziesii_var._menziesii	0	0	0	0
Quercus_agrifolia__var._agrifolia	1	1	1	1
Quercus_douglasii	0	1	1	0
Quercus_durata_var._durata	0	0	0	1
Quercus_kelloggii	0	0	1	0
Quercus_lobata	1	0	0	0
Rhamnus_californica_ssp._californica	0	1	0	0
Rhamnus_crocea	1	0	0	0
Ribes_californicum_var._californicum	1	0	1	1
Ribes_divaricatum_var._pubiflorum	0	0	0	0
Ribes_malvaceum_var._malvaceum	0	0	0	0
Ribes_sanguineum_var._glutinosum	0	0	0	0
Rosa_californica	1	0	0	0
Rosa_spithamea	0	0	0	0
Rubus_parviflorus	0	0	0	0
Rubus_ursinus	1	1	1	0
Salix_lasiolepis	0	0	0	0
Salix_lucida_ssp._lasiandra	0	0	0	0
Sambucus_mexicana	1	0	0	0
Sequoia_sempervirens	0	0	0	0
Solanum_umbelliferum	1	0	0	0
Symphoricarpos_albus_var._laevigatus	1	1	0	0
Symphoricarpos_mollis	0	1	1	0
Toxicodendron_diversilobum	1	1	1	1
Umbellularia_californica	1	1	1	0
