Full_name	Trait1	Trait2	Trait3
Acer_macrophyllum	0.458435314	0.128691692	5.08889526
Acer_negundo_var._californicum	0.277167617	0.847054003	3.046170335
Adenostoma_fasciculatum	0.018517505	0.522618443	0.256919109
Aesculus_californica	0.80972345	0.983841899	8.602566844
Alnus_rhombifolia	0.080244106	0.008529937	1.091131296
Amelanchier_utahensis	0.438155118	0.89367653	4.714288622
Arbutus_menziesii	0.025782663	0.515190138	0.680687675
Artemisia_californica	0.129641969	0.989034097	1.721525788
Baccharis_pilularis	0.178300686	0.227652755	2.085370485
Ceanothus_cuneatus_var._cuneatus	0.724494901	0.293047177	7.720698936
Ceanothus_oliganthus_var._sorediatus	0.551349199	0.550868722	5.525299925
Cercocarpus_betuloides_var._betuloides	0.177081426	0.436853634	2.098828136
Clematis_lasiantha	0.635580155	0.811956575	6.599826045
Cornus_glabrata	0.775935425	0.526993242	8.432491226
Cornus_sericea_ssp._sericea	0.089561105	0.015407358	1.686550135
Corylus_cornuta_var._californica	0.024080321	0.490561458	0.944962658
Dirca_occidentalis	0.761263258	0.670835886	8.190414685
Eriodictyon_californicum	0.609398319	0.904740811	6.206203412
Eriophyllum_confertiflorum_var._confertiflorum	0.326106597	0.600009512	4.1652834
Heteromeles_arbutifolia	0.530696828	0.738660898	5.491841195
Holodiscus_discolor	0.848239399	0.49949367	9.252857912
Juglans_californica_var._hindsii	0.937509051	0.815934036	9.862805906
Lepechinia_calycina	0.064241759	0.805478526	0.772062973
Lonicera_hispidula_var._vacillans	0.458598558	0.703043901	4.693747094
Lotus_scoparius	0.53719661	0.928061472	5.391203597
Mimulus_aurantiacus	0.142747898	0.608870455	1.565911732
Oemleria_cerasiformis	0.759388734	0.870623923	7.76197462
Populus_balsamifera_ssp._trichocarpa	0.996467124	0.370905132	10.47962479
Prunus_ilicifolia_ssp._ilicifolia	0.57014281	0.699334037	6.285296522
Pseudotsuga_menziesii_var._menziesii	0.383059134	0.784491193	4.065677906
Quercus_agrifolia__var._agrifolia	0.996449282	0.335258443	10.30421712
Quercus_douglasii	0.643732346	0.0458328	6.744015655
Quercus_durata_var._durata	0.235421386	0.513881937	2.638977339
Quercus_kelloggii	0.87341276	0.715945683	9.732169173
Quercus_lobata	0.977630871	0.422818921	10.30041711
Rhamnus_californica_ssp._californica	0.479922928	0.945240962	5.333629368
Rhamnus_crocea	0.554618189	0.897742991	5.66274585
Ribes_californicum_var._californicum	0.985951013	0.628010021	10.09573909
Ribes_divaricatum_var._pubiflorum	0.21588773	0.212240778	2.603599495
Ribes_malvaceum_var._malvaceum	0.82801527	0.827716212	8.429450739
Ribes_sanguineum_var._glutinosum	0.467323051	0.424663109	5.464236946
Rosa_californica	0.685584092	0.619103282	7.188531811
Rosa_spithamea	0.568601166	0.636840218	6.129394756
Rubus_parviflorus	0.676662482	0.917465178	7.480185693
Rubus_ursinus	0.092681933	0.684829054	1.367412927
Salix_lasiolepis	0.281015783	0.917470064	2.877491142
Salix_lucida_ssp._lasiandra	0.491770637	0.425486829	5.808459534
Sambucus_mexicana	0.298146875	0.087691086	3.293255677
Sequoia_sempervirens	0.27073108	0.690853922	2.768569798
Solanum_umbelliferum	0.835989256	0.780417425	8.821699832
Symphoricarpos_albus_var._laevigatus	0.620578985	0.874612472	7.123324143
Symphoricarpos_mollis	0.315661975	0.08783864	3.484206874
Toxicodendron_diversilobum	0.444437823	0.268391866	4.479560779
Umbellularia_californica	0.739179473	0.319525208	8.084722851
